Kanji,Kanji_Meaning,Reading_Used,Word,Word_Reading,English_Meaning,Reading_Type,Position_in_Deck
色,color,いろ,灰色,はいいろ,"ash color, gray",kun,1599
色,color,irregular,色々,いろいろ,various,irregular,968
茶,tea,ちゃ,茶色,ちゃいろ,light brown,on,255
茶,tea,ちゃ,お茶,おちゃ,tea (polite),on,633
茶,tea,ちゃ,茶わん,ちゃわん,"rice bowl, tea cup",on,634
茶,tea,ちゃ,紅茶,こうちゃ,black tea,on,1726
茶,tea,ちゃ,茶,ちゃ,tea (plain form),on,1845
茶,tea,さ,喫茶店,きっさてん,"coffee shop, tea house, café",on,1585
直,"straightaway, honesty",ちょく,直接,ちょくせつ,directly,on,976
直,"straightaway, honesty",じき,正直,しょうじき,"honest, upright",on,1121
直,"straightaway, honesty",なお,書き直す,かきなおす,rewrite,kun,257
直,"straightaway, honesty",なお,直る,なおる,"be repaired, return to normal",kun,258
直,"straightaway, honesty",なお,直す,なおす,"repair, cure, alter",kun,974
直,"straightaway, honesty",す,真っ直ぐ,まっすぐ,"dead straight, honestly",kun,975
曲,"bend, music",きょく,曲,きょく,"song, melody, tune",on,983
曲,"bend, music",ま,曲がる,まがる,turn,kun,260
曲,"bend, music",ま,曲げる,まげる,"bend, curve",kun,984
曲,"bend, music",ま,曲がり角,まがりかど,street corner,kun,985
違,"difference, differ",ちが,違う,ちがう,"differ, be wrong",kun,262
違,"difference, differ",ちが,間違い,まちがい,"mistake, error",kun,987
違,"difference, differ",ちが,間違える,まちがえる,"make a mistake (in something), confuse (を)",kun,988
違,"difference, differ",ちが,間違う,まちがう,"be mistaken, be incorrect",kun,989
館,"building, mansion",かん,図書館,としょかん,library,on,263
館,"building, mansion",かん,大使館,たいしかん,embassy,on,994
館,"building, mansion",かん,旅館,りょかん,Japanese inn,on,995
館,"building, mansion",かん,映画館,えいがかん,movie theater,on,996
館,"building, mansion",かん,美術館,びじゅつかん,art museum,on,1505
館,"building, mansion",かん,博物館,はくぶつかん,museum,on,1509
父,father,ふ,祖父,そふ,grandfather,on,1717
父,father,ちち,父,ちち,(speaker's)father,kun,269
父,father,irregular,お父さん,おとうさん,father,irregular,268
父,father,irregular,お祖父さん,おじいさん,grandfather,irregular,1714
母,mother,ぼ,祖母,そぼ,grandmother,on,1718
母,mother,はは,母,はは,(speaker's) mother,kun,271
母,mother,irregular,お母さん,おかあさん,mother,irregular,270
母,mother,irregular,お祖母さん,おばあさん,grandmother,irregular,1715
親,"parent, intimacy",しん,親切,しんせつ,"kind, friendly",on,1005
親,"parent, intimacy",しん,不親切,ふしんせつ,"unkind, inattentive",on,1006
親,"parent, intimacy",しん,両親,りょうしん,parents,on,1332
親,"parent, intimacy",おや,親,おや,parent,kun,272
親,"parent, intimacy",した,親しい,したしい,"intimate, close",kun,1004
姉,elder sister,あね,姉,あね,older sister,kun,273
姉,elder sister,irregular,お姉さん,おねえさん,older sister,irregular,274
姉,elder sister,irregular,姉さん,ねえさん,"older sister, girl, miss",irregular,1010
兄,"elder brother, big brother",きょう,兄弟,きょうだい,siblings,on,1011
兄,"elder brother, big brother",あに,兄,あに,older brother,kun,277
兄,"elder brother, big brother",irregular,お兄さん,おにいさん,older brother,irregular,278
兄,"elder brother, big brother",irregular,兄さん,にいさん,older brother,irregular,1905
彼,"he, that",かの,彼女,かのじょ,"she, one's girlfriend",kun,283
彼,"he, that",かれ,彼,かれ,"he, one's boyfriend",kun,284
彼,"he, that",かれ,彼ら,かれら,they,kun,1013
女,"woman, female",じょ,彼女,かのじょ,"she, one's girlfriend",on,283
女,"woman, female",じょ,長女,ちょうじょ,eldest daughter,on,599
女,"woman, female",じょ,女性,じょせい,"female, woman (formal)",on,743
女,"woman, female",じょ,次女,じじょ,second daughter,on,898
女,"woman, female",おんな,女の子,おんなのこ,"girl, baby girl",kun,461
女,"woman, female",おんな,女,おんな,"woman, girl",kun,1799
結,"tie, bind",けつ,結合,けつごう,"combination, joining",on,1015
結,"tie, bind",irregular,結婚,けっこん,marriage,irregular,285
結,"tie, bind",irregular,結果,けっか,"result, outcome",irregular,1016
転,"revolve, turn around",てん,自転車,じてんしゃ,bicycle,on,286
転,"revolve, turn around",てん,運転,うんてん,drive,on,900
転,"revolve, turn around",てん,運転手,うんてんしゅ,driver,on,901
転,"revolve, turn around",ころ,転ぶ,ころぶ,"tumble down, fall over",kun,902
別,"separate, branch off",べつ,別,べつ,"another, different",on,290
別,"separate, branch off",べつ,特別,とくべつ,"special, extraordinary",on,1042
別,"separate, branch off",わか,別れる,わかれる,"separate, part from",kun,1044
別,"separate, branch off",irregular,別々,べつべつ,separately,irregular,1043
飛,"fly, skip (pages)",ひ,飛行機,ひこうき,airplane,on,298
飛,"fly, skip (pages)",ひ,飛行場,ひこうじょう,"airport, airfield",on,1103
飛,"fly, skip (pages)",と,飛ぶ,とぶ,fly,kun,297
機,"loom, mechanism",き,飛行機,ひこうき,airplane,on,298
機,"loom, mechanism",き,機能,きのう,"function, feature",on,1080
機,"loom, mechanism",き,ジェット機,ジェットき,jet (plane),on,1081
機,"loom, mechanism",き,機械,きかい,machine,on,1082
機,"loom, mechanism",き,洗濯機,せんたくき,washing machine,on,1582
機,"loom, mechanism",き,扇風機,せんぷうき,electric fan,on,1610
機,"loom, mechanism",き,掃除機,そうじき,vacuum cleaner,on,1654
記,"scribe, account",き,日記,にっき,diary,on,301
記,"scribe, account",き,記者,きしゃ,"journalist, reporter",on,1139
記,"scribe, account",き,記録,きろく,"record, documentation",on,1140
記,"scribe, account",き,記念日,きねんび,"memorial day, anniversary",on,1363
首,"neck, counter for songs and poems",しゅ,首相,しゅしょう,prime minister,on,1161
首,"neck, counter for songs and poems",しゅ,首都,しゅと,capital,on,1162
首,"neck, counter for songs and poems",くび,首,くび,neck,kun,302
洗,"wash, inquire into",せん,洗面所,せんめんじょ,"washroom, bathroom",on,1242
洗,"wash, inquire into",せん,洗濯機,せんたくき,washing machine,on,1582
洗,"wash, inquire into",せん,洗濯,せんたく,"laundering, washing",on,1583
洗,"wash, inquire into",あら,お手洗い,おてあらい,bathroom (polite),kun,308
洗,"wash, inquire into",あら,洗う,あらう,wash,kun,1241
冷,"cool, cold (beer, person)",れい,冷蔵庫,れいぞうこ,refrigerator,on,1251
冷,"cool, cold (beer, person)",れい,冷房,れいぼう,air conditioning,on,1302
冷,"cool, cold (beer, person)",つめ,冷たい,つめたい,"cold (things, touch)",kun,309
冷,"cool, cold (beer, person)",ひ,冷える,ひえる,"get cold, get chilly",kun,1247
冷,"cool, cold (beer, person)",ひ,冷やす,ひやす,"cool (sth), chill (を)",kun,1248
冷,"cool, cold (beer, person)",さ,冷める,さめる,"cool down (from hot to room temp), subside",kun,1249
汚,"dirty, pollute",きたな,汚い,きたない,dirty,kun,310
汚,"dirty, pollute",よご,汚す,よごす,"make dirty, soil",kun,1254
汚,"dirty, pollute",よご,汚れ,よごれ,"dirt, filth",kun,1255
汚,"dirty, pollute",よご,汚れる,よごれる,"become dirty, become defiled",kun,1256
太,"plump, thick",たい,太陽,たいよう,sun,on,1261
太,"plump, thick",ふと,太い,ふとい,"thick, fat",kun,311
太,"plump, thick",ふと,太る,ふとる,"grow fat, fatten",kun,1260
建,build,けん,建設,けんせつ,"construction, establishment",on,1278
建,build,た,建てる,たてる,"build, erect",kun,315
建,build,た,建物,たてもの,"building, structure",kun,1279
建,build,た,建つ,たつ,"be built, be erected",kun,1280
留,"detain, fasten",りゅう,留学生,りゅうがくせい,student studying abroad,on,322
留,"detain, fasten",りゅう,留学,りゅうがく,studying abroad,on,1315
留,"detain, fasten",りゅう,停留所,ていりゅうじょ,"stop, station",on,1316
留,"detain, fasten",る,留守,るす,not at home,on,1320
留,"detain, fasten",と,書留,かきとめ,registered mail,kun,1317
起,"rouse, wake up",お,起きる,おきる,"get up, get out of bed",kun,325
起,"rouse, wake up",お,起こる,おこる,happen,kun,326
起,"rouse, wake up",お,起こす,おこす,wake up (someone),kun,327
起,"rouse, wake up",お,起きる,おきる,occur,kun,328
起,"rouse, wake up",お,早起き,はやおき,early rising,kun,1324
細,"dainty, get thin",ほそ,細い,ほそい,"thin, slender, narrow",kun,330
細,"dainty, get thin",こま,細かい,こまかい,"minute, elaborate",kun,1346
細,"dainty, get thin",こま,細か,こまか,"minute, elaborate",kun,1347
夫,"husband, man",ぶ,大丈夫,だいじょうぶ,"alright, okay",on,369
夫,"husband, man",ぶ,丈夫,じょうぶ,"healthy, stout",on,1712
夫,"husband, man",ふう,夫婦,ふうふ,"husband and wife, married couple",on,1414
夫,"husband, man",おっと,夫,おっと,husband,kun,337
愛,"love, affection",あい,愛する,あいする,"love, care for",on,340
愛,"love, affection",あい,愛,あい,love,on,1422
愛,"love, affection",irregular,可愛い,かわいい,"cute, charming, sweet",irregular,1423
葉,"leaf, plane",は,葉,は,leaf,kun,1475
葉,"leaf, plane",は,絵葉書,えはがき,picture postcard,kun,1476
葉,"leaf, plane",irregular,言葉,ことば,"word, language",irregular,343
片,"one-sided, leaf",かた,片仮名,かたかな,katakana,kun,349
片,"one-sided, leaf",かた,片道,かたみち,one-way,kun,1333
片,"one-sided, leaf",かた,片付ける,かたづける,"put in order, clear (st) away, put (st) back",kun,1356
片,"one-sided, leaf",かた,片付く,かたづく,"be in order, be settled",kun,1360
仮,"sham, temporary",か,片仮名,かたかな,katakana,on,349
仮,"sham, temporary",か,仮名,かな,"kana, Japanese syllabary",on,1500
仮,"sham, temporary",irregular,平仮名,ひらがな,hiragana,irregular,350
仮,"sham, temporary",irregular,送り仮名,おくりがな,kana suffix,irregular,1501
平,"even, flat",へい,平和,へいわ,"peace, harmony",on,1050
平,"even, flat",へい,平成,へいせい,Heisei era,on,1111
平,"even, flat",ひら,平仮名,ひらがな,hiragana,kun,350
美,"beauty, beautiful",び,美術館,びじゅつかん,art museum,on,1505
美,"beauty, beautiful",び,美人,びじん,beautiful woman,on,1506
美,"beauty, beautiful",び,美容院,びよういん,hair salon,on,1507
美,"beauty, beautiful",うつく,美しい,うつくしい,beautiful,kun,352
嫌,"dislike, detest",きら,嫌い,きらい,dislike,kun,358
嫌,"dislike, detest",きら,大嫌い,だいきらい,hate,kun,1554
嫌,"dislike, detest",いや,嫌,いや,"dislike, have a dislike for",kun,1553
毛,"fur, hair",もう,毛布,もうふ,blanket,on,1630
毛,"fur, hair",け,髪の毛,かみのけ,hair,kun,361
毛,"fur, hair",け,毛,け,"hair, wool",kun,1602
風,"wind, air",ふう,台風,たいふう,typhoon,on,677
風,"wind, air",ふ,風呂屋,ふろや,"bathhouse, public bath",on,1721
風,"wind, air",ふ,風呂,ふろ,bath,on,1722
風,"wind, air",かぜ,風邪,かぜ,cold (illness),kun,370
風,"wind, air",かぜ,風,かぜ,wind,kun,676
風,"wind, air",かぜ,風邪薬,かぜぐすり,remedy for a cold,kun,1720
風,"wind, air",irregular,扇風機,せんぷうき,electric fan,irregular,1610
邪,"wicked, injustice",じゃ,邪魔,じゃま,"obstacle, interruption",on,1719
邪,"wicked, injustice",irregular,風邪,かぜ,cold (illness),irregular,370
邪,"wicked, injustice",irregular,風邪薬,かぜぐすり,remedy for a cold,irregular,1720
中,"in, inside",ちゅう,中心,ちゅうしん,"center, middle, core",on,685
中,"in, inside",ちゅう,中学,ちゅうがく,middle school (abbrev.),on,749
中,"in, inside",ちゅう,中学生,ちゅうがくせい,middle school sudent,on,751
中,"in, inside",ちゅう,中学校,ちゅうがっこう,middle school,on,757
中,"in, inside",なか,中,なか,"in, inside, middle",kun,400
中,"in, inside",なか,夜中,よなか,"midnight, dead of night",kun,530
中,"in, inside",なか,真ん中,まんなか,"center, middle",kun,1896
外,outside,がい,外人,がいじん,"foreigner, alien (less polite)",on,424
外,outside,がい,海外,かいがい,"overseas, abroad",on,446
外,outside,がい,外国,がいこく,foreign country,on,610
外,outside,がい,外国人,がいこくじん,foreigner (polite),on,613
外,outside,がい,外国語,がいこくご,foreign language,on,614
外,outside,そと,外,そと,"outside, open air",kun,425
外,outside,そと,外側,そとがわ,"exterior, outside",kun,1336
外,outside,はず,外れる,はずれる,come off,kun,1776
力,"power, strength",りょく,協力,きょうりょく,"cooperation, collaboration",on,429
力,"power, strength",りょく,能力,のうりょく,"ability, capacity",on,692
力,"power, strength",りょく,努力,どりょく,"<!--anki-->effort,&nbsp;endeavor",on,1406
力,"power, strength",ちから,力,ちから,"strength, power",kun,428
海,"sea, ocean",かい,海外,かいがい,"overseas, abroad",on,446
海,"sea, ocean",かい,海岸,かいがん,"coast, seashore",on,1461
海,"sea, ocean",うみ,海,うみ,"sea, ocean",kun,448
毎,every,まい,毎日,まいにち,every day,on,449
毎,every,まい,毎年,まいとし,every year (less formal),on,450
毎,every,まい,毎週,まいしゅう,every week,on,452
毎,every,まい,毎月,まいつき,every month,on,453
毎,every,まい,毎朝,まいあさ,every morning,on,520
毎,every,まい,毎晩,まいばん,every evening,on,526
毎,every,まい,毎年,まいねん,every year (more formal),on,1820
花,flower,はな,花,はな,flower,kun,457
花,flower,はな,花見,はなみ,cherry blossom viewing,kun,538
男,male,なん,長男,ちょうなん,eldest son,on,598
男,male,なん,次男,じなん,second son,on,897
男,male,おとこ,男の子,おとこのこ,"boy, baby boy",kun,462
男,male,おとこ,男,おとこ,"man, male",kun,1798
青,"blue, green",あお,青い,あおい,blue,kun,474
青,"blue, green",あお,青,あお,"blue, green, green light",kun,475
青,"blue, green",irregular,真っ青,まっさお,"deep-blue, pale (skin)",irregular,967
明,"bright, light",めい,説明,せつめい,"explanation, description",on,1094
明,"bright, light",あき,明らか,あきらか,"clear, obvious",kun,477
明,"bright, light",あか,明るい,あかるい,"bright, cheerful",kun,479
明,"bright, light",あ,明日,あした,tomorrow,kun,480
明,"bright, light",あ,明後日,あさって,day after tomorrow,kun,513
向,"yonder, facing",こう,方向,ほうこう,"direction, course",on,491
向,"yonder, facing",こう,傾向,けいこう,"tendency, inclination",on,1536
向,"yonder, facing",む,向かう,むかう,"face, head toward, confront",kun,492
向,"yonder, facing",む,向こう,むこう,"the other side, the other party, opponent",kun,494
向,"yonder, facing",む,向く,むく,"turn, face, look",kun,495
向,"yonder, facing",む,向こう側,むこうがわ,other side,kun,1335
最,"utmost, most",さい,最大,さいだい,"biggest, largest",on,505
最,"utmost, most",さい,最初,さいしょ,"the beginning, first",on,507
最,"utmost, most",さい,最後,さいご,"last, final",on,511
最,"utmost, most",さい,最近,さいきん,"lately, recent",on,593
初,"first time, beginning",しょ,最初,さいしょ,"the beginning, first",on,507
初,"first time, beginning",はじ,初めて,はじめて,"first, for the first time",kun,506
初,"first time, beginning",はじ,初め,はじめ,"beginning, start",kun,508
半,"half, middle",はん,半分,はんぶん,half,on,515
半,"half, middle",はん,半年,はんとし,half a year,on,516
半,"half, middle",はん,半月,はんつき,half a month,on,518
半,"half, middle",はん,半日,はんにち,half a day,on,519
半,"half, middle",はん,半袖,はんそで,short-sleeved shirt,on,1753
夕,evening,ゆう,夕方,ゆうがた,evening,kun,531
夕,evening,ゆう,夕食,ゆうしょく,supper (polite),kun,535
夕,evening,ゆう,夕飯,ゆうはん,"evening meal, supper (かたい)",kun,536
夕,evening,ゆう,夕刊,ゆうかん,evening edition,kun,1344
語,"word, speech",ご,言語,げんご,"language, speech",on,545
語,"word, speech",ご,外国語,がいこくご,foreign language,on,614
語,"word, speech",ご,敬語,けいご,"honorific language, polite speech",on,1694
語,"word, speech",ご,英語,えいご,English,on,1827
語,"word, speech",かた,語る,かたる,"tell (a story), talk about",kun,544
文,"sentence, literature",ぶん,作文,さくぶん,"composition, essay",on,643
文,"sentence, literature",ぶん,文化,ぶんか,culture,on,874
文,"sentence, literature",ぶん,文房具,ぶんぼうぐ,"stationery, writing materials",on,1304
文,"sentence, literature",ぶん,例文,れいぶん,example sentence,on,1366
文,"sentence, literature",ぶん,文章,ぶんしょう,"writing, prose",on,1710
文,"sentence, literature",もん,注文,ちゅうもん,"order, request",on,1073
文,"sentence, literature",irregular,文字,もじ,"character, letter",irregular,546
社,"company, firm",しゃ,会社,かいしゃ,"company, corporation",on,557
社,"company, firm",しゃ,社会,しゃかい,society,on,558
社,"company, firm",しゃ,社員,しゃいん,"staff member, employee",on,559
社,"company, firm",しゃ,社長,しゃちょう,president (of a company),on,595
社,"company, firm",irregular,神社,じんじゃ,Shinto shrine,irregular,1271
員,"employee, member",いん,社員,しゃいん,"staff member, employee",on,559
員,"employee, member",いん,駅員,えきいん,station attendant,on,571
員,"employee, member",いん,店員,てんいん,"clerk, salesperson",on,651
員,"employee, member",いん,議員,ぎいん,legislator,on,1034
故,"happenstance, especially",こ,事故,じこ,"accident, incident",on,565
故,"happenstance, especially",こ,交通事故,こうつうじこ,traffic accident,on,575
故,"happenstance, especially",こ,故障,こしょう,"malfunction, fault, breakdown",on,1203
工,"craft, construction",こう,工事,こうじ,construction work,on,566
工,"craft, construction",こう,工場,こうじょう,"factory, plant",on,567
工,"craft, construction",こう,工業,こうぎょう,manufacturing industry,on,809
工,"craft, construction",こう,加工,かこう,"processing, manufacturing<div>(turning st into st else)</div>",on,1198
交,"mingle, mixing",こう,交通事故,こうつうじこ,traffic accident,on,575
交,"mingle, mixing",こう,交通費,こうつうひ,"traveling expense, transportation cost",on,646
交,"mingle, mixing",こう,交番,こうばん,police box,on,699
交,"mingle, mixing",こう,交差点,こうさてん,"intersection, crossing",on,825
交,"mingle, mixing",こう,交渉,こうしょう,"negotiation, bargaining",on,1191
地,"ground, earth",ち,土地,とち,land,on,580
地,"ground, earth",ち,地図,ちず,"map, atlas",on,581
地,"ground, earth",ち,地下鉄,ちかてつ,subway,on,623
地,"ground, earth",ち,番地,ばんち,"house number, address",on,700
地,"ground, earth",ち,地球,ちきゅう,the Earth,on,1263
地,"ground, earth",ち,地域,ちいき,"region, area",on,1441
地,"ground, earth",じ,地震,じしん,earthquake,on,1267
渡,"transit, ford",わた,渡す,わたす,"<!--anki-->hand over, carry across",kun,587
渡,"transit, ford",わた,渡る,わたる,"cross, ford, go across",kun,588
度,"degrees, occurrence",ど,年度,ねんど,"fiscal year, school year",on,589
度,"degrees, occurrence",ど,今度,こんど,"this time, next time",on,590
度,"degrees, occurrence",ど,何度,なんど,"how many degrees, how many times",on,592
度,"degrees, occurrence",ど,温度,おんど,temperature,on,673
度,"degrees, occurrence",ど,制度,せいど,"system, organization",on,766
度,"degrees, occurrence",ど,程度,ていど,"degree, extent",on,1402
黒,black,こく,黒板,こくばん,blackboard,on,1471
黒,black,くろ,黒い,くろい,black<div><br /></div>,kun,616
黒,black,くろ,黒,くろ,black,kun,617
黒,black,くろ,真っ黒,まっくろ,"deep-black, jet-black",kun,966
銀,silver,ぎん,銀行,ぎんこう,bank,on,621
銀,silver,ぎん,銀,ぎん,silver,on,622
肉,meat,にく,牛肉,ぎゅうにく,beef,on,624
肉,meat,にく,肉,にく,"meat, flesh",on,625
肉,meat,にく,豚肉,ぶたにく,"pork, hog meat",on,1612
野,"plains, field",や,分野,ぶんや,"field, sphere",on,627
野,"plains, field",や,野菜,やさい,vegetable,on,628
野,"plains, field",や,野球,やきゅう,baseball,on,1264
料,"fee, materials",りょう,料理,りょうり,"cooking;<br>handling, management",on,638
料,"fee, materials",りょう,材料,ざいりょう,"ingredients, material",on,1083
料,"fee, materials",りょう,給料,きゅうりょう,"salary, pay",on,1186
理,"logic, arrangement",り,料理,りょうり,"cooking;<br>handling, management",on,638
理,"logic, arrangement",り,無理,むり,"unreasonable, impossible, forced",on,639
理,"logic, arrangement",り,理由,りゆう,"reason, cause",on,1025
理,"logic, arrangement",り,理科,りか,science,on,1062
理,"logic, arrangement",り,修理,しゅうり,"repair, mending",on,1204
理,"logic, arrangement",り,管理,かんり,"management, administration",on,1219
理,"logic, arrangement",り,処理,しょり,"processing,&nbsp;management<div>(unlike 加工, a new thing is not created)</div>",on,1410
無,"nothingness, none",む,無理,むり,"unreasonable, impossible, forced",on,639
無,"nothingness, none",な,無くなる,なくなる,"disappear, run short, get lost",kun,642
無,"nothingness, none",な,無い,ない,to not be,kun,1801
用,"utilize, business",よう,用事,ようじ,"things to do, errand, business",on,645
用,"utilize, business",よう,利用,りよう,"utilization, usage",on,811
用,"utilize, business",よう,用意,ようい,"prepare, ready oneself",on,1077
用,"utilize, business",よう,採用,さいよう,employment,on,1185
用,"utilize, business",もち,用いる,もちいる,"use, make use of",kun,644
品,"goods, refinement",ひん,商品,しょうひん,"goods, commodities",on,653
品,"goods, refinement",ひん,作品,さくひん,"work of art, piece",on,654
品,"goods, refinement",しな,品物,しなもの,"article, thing",kun,718
階,"storey, stair",かい,二階,にかい,"second floor, upstairs",on,656
階,"storey, stair",かい,段階,だんかい,"stage, step",on,658
階,"storey, stair",かい,階段,かいだん,"steps, flight of stairs",on,659
段,"grade, steps",だん,段階,だんかい,"stage, step",on,658
段,"grade, steps",だん,階段,かいだん,"steps, flight of stairs",on,659
段,"grade, steps",だん,値段,ねだん,price,on,661
段,"grade, steps",irregular,段々,だんだん,"gradually, one after another",irregular,660
格,"status, rank",かく,価格,かかく,"price, cost (formal)",on,662
格,"status, rank",かく,合格,ごうかく,"passing an examination, eligibility",on,663
温,warm,おん,温度,おんど,temperature,on,673
温,warm,おん,気温,きおん,atmospheric temperature,on,674
台,"pedestal, a stand",だい,台,だい,"stand, platform",on,675
台,"pedestal, a stand",だい,台所,だいどころ,kitchen,on,704
台,"pedestal, a stand",たい,台風,たいふう,typhoon,on,677
情,"feelings, emotion",じょう,事情,じじょう,"circumstances, conditions",on,678
情,"feelings, emotion",じょう,情報,じょうほう,information,on,680
報,"report, news",ほう,情報,じょうほう,information,on,680
報,"report, news",ほう,報告,ほうこく,report,on,681
報,"report, news",ほう,天気予報,てんきよほう,weather forecast,on,863
心,"heart, mind",しん,中心,ちゅうしん,"center, middle, core",on,685
心,"heart, mind",しん,安心,あんしん,"peace of mind, relief",on,686
心,"heart, mind",しん,心配,しんぱい,"anxiety, worry, assistance",on,725
能,"ability, talent",のう,能力,のうりょく,"ability, capacity",on,692
能,"ability, talent",のう,可能,かのう,"possible, potential",on,693
能,"ability, talent",のう,機能,きのう,"function, feature",on,1080
可,"can, passable",か,可能,かのう,"possible, potential",on,693
可,"can, passable",か,可,か,"permitted, OK",on,694
可,"can, passable",か,可愛い,かわいい,"cute, charming, sweet",on,1423
郵,"mail, stagecoach stop",ゆう,郵便,ゆうびん,mail,on,695
郵,"mail, stagecoach stop",ゆう,郵便屋さん,ゆうびんやさん,mailman,on,697
郵,"mail, stagecoach stop",ゆう,郵便局,ゆうびんきょく,post office,on,698
便,"convenience, facility",びん,郵便,ゆうびん,mail,on,695
便,"convenience, facility",びん,郵便屋さん,ゆうびんやさん,mailman,on,697
便,"convenience, facility",びん,郵便局,ゆうびんきょく,post office,on,698
便,"convenience, facility",びん,航空便,こうくうびん,airmail,on,1104
便,"convenience, facility",びん,船便,ふなびん,surface mail&nbsp;(ship),on,1105
便,"convenience, facility",べん,不便,ふべん,inconvenient,on,696
便,"convenience, facility",べん,便所,べんじょ,"bathroom, lavatory",on,706
便,"convenience, facility",べん,便利,べんり,"convenience, handiness",on,812
所,"place, extent",しょ,場所,ばしょ,"place, space",on,702
所,"place, extent",しょ,住所,じゅうしょ,"address, one's dwelling",on,705
所,"place, extent",しょ,事務所,じむしょ,"office, one's place of business",on,1179
所,"place, extent",どころ,台所,だいどころ,kitchen,kun,704
所,"place, extent",irregular,近所,きんじょ,neighborhood,irregular,703
所,"place, extent",irregular,便所,べんじょ,"bathroom, lavatory",irregular,706
所,"place, extent",irregular,洗面所,せんめんじょ,"washroom, bathroom",irregular,1242
所,"place, extent",irregular,停留所,ていりゅうじょ,"stop, station",irregular,1316
都,"metropolis, capital",と,都市,とし,"city, urban community",on,713
都,"metropolis, capital",と,首都,しゅと,capital,on,1162
都,"metropolis, capital",つ,都合,つごう,circumstances,on,714
配,"distribute, spouse",はい,配達,はいたつ,delivery,on,724
配,"distribute, spouse",くば,配る,くばる,"hand out, distribute",kun,723
配,"distribute, spouse",irregular,心配,しんぱい,"anxiety, worry, assistance",irregular,725
受,"accept, undergo",う,受ける,うける,"receive, accept",kun,728
受,"accept, undergo",う,受け取る,うけとる,"get (st from so), receive<div>take (as in take as an insult)</div>",kun,729
受,"accept, undergo",う,受け付ける,うけつける,"accept, receive",kun,1355
受,"accept, undergo",う,受付,うけつけ,"receptionist, front desk",kun,1358
届,"deliver, reach",とど,届く,とどく,"reach, be delivered",kun,732
届,"deliver, reach",とど,届ける,とどける,"deliver, notify",kun,733
産,"products, bear",さん,生産,せいさん,production,on,744
産,"products, bear",さん,産業,さんぎょう,industry,on,808
産,"products, bear",さん,不動産屋,ふどうさんや,"real estate agent, realtor",on,911
産,"products, bear",irregular,お土産,おみやげ,souvenir,irregular,745
育,"bring up, grow up",いく,教育,きょういく,education,on,762
育,"bring up, grow up",そだ,育てる,そだてる,"raise, bring up",kun,763
育,"bring up, grow up",そだ,育つ,そだつ,"grow, be raised",kun,765
押,"push, stop",お,押さえる,おさえる,"hold down, hold back",kun,771
押,"push, stop",お,押し入れ,おしいれ,closet,kun,772
習,learn,しゅう,練習,れんしゅう,"practice, training",on,773
習,learn,しゅう,習慣,しゅうかん,"custom, habit",on,777
習,learn,しゅう,予習,よしゅう,preparation for class,on,865
習,learn,しゅう,自習,じしゅう,"self-study, self-teaching",on,1024
習,learn,しゅう,復習,ふくしゅう,review,on,1312
習,learn,なら,習う,ならう,"learn, practice",kun,775
慣,"accustomed, get used to",かん,習慣,しゅうかん,"custom, habit",on,777
慣,"accustomed, get used to",な,慣れる,なれる,grow accustomed to,kun,776
験,"verification, effect",けん,試験,しけん,"exam, test",on,779
験,"verification, effect",けん,経験,けいけん,experience,on,800
験,"verification, effect",けん,実験,じっけん,experiment,on,924
回,"-times, round",かい,今回,こんかい,this time,on,786
回,"-times, round",まわ,回る,まわる,"turn round, go round, detour",kun,787
回,"-times, round",まわ,回す,まわす,"turn, rotate",kun,788
然,"sort of thing, so",ぜん,当然,とうぜん,"naturally, of course",on,794
然,"sort of thing, so",ぜん,全然,ぜんぜん,"(not) at all, totally (not)",on,795
然,"sort of thing, so",ぜん,自然,しぜん,nature,on,1022
然,"sort of thing, so",ぜん,自然,しぜん,"natural, naturally",on,1023
法,"method, law",ほう,方法,ほうほう,"way, method, procedure",on,796
法,"method, law",ほう,法律,ほうりつ,law,on,797
経,"sutra, longitude",けい,経験,けいけん,experience,on,800
経,"sutra, longitude",けい,経済,けいざい,"economy, economics",on,802
経,"sutra, longitude",けい,経営,けいえい,"management, operation",on,803
経,"sutra, longitude",た,経つ,たつ,"pass, elapse",kun,801
利,"profit, advantage",り,利用,りよう,"utilization, usage",on,811
利,"profit, advantage",り,便利,べんり,"convenience, handiness",on,812
術,"art, technique",じゅつ,技術,ぎじゅつ,"skill, technology",on,813
術,"art, technique",じゅつ,手術,しゅじゅつ,surgical operation,on,814
術,"art, technique",じゅつ,美術館,びじゅつかん,art museum,on,1505
必,"invariably, certain",ひつ,必要,ひつよう,"need, necessity",on,817
必,"invariably, certain",かなら,必ず,かならず,"without fail, certainly",kun,816
算,"calculate, divining",さん,計算,けいさん,calculation,on,822
算,"calculate, divining",irregular,引き算,ひきざん,subtraction,irregular,823
算,"calculate, divining",irregular,足し算,たしざん,addition,irregular,824
算,"calculate, divining",irregular,割り算,わりざん,division,irregular,828
算,"calculate, divining",irregular,掛け算,かけざん,multiplication,irregular,1649
割,"proportion, comparatively",わ,割る,わる,"divide (st), crack, split",kun,826
割,"proportion, comparatively",わ,割れる,われる,"(st) cracks, splits, breaks (が)",kun,827
割,"proportion, comparatively",わ,割り算,わりざん,division,kun,828
残,"remainder, leftover",ざん,残念,ざんねん,"regretful, disappointing",on,1364
